,target,output,question
165,garden,Sandra is not present in the text. The text is a diary entry written by Samuel,Where is Sandra? 
166,garden,Sandra is in the Congo River Valley in central Africa. She is on a mission with the,Where is Sandra? 
167,garden,Daniel is in the cave with Pio. Pio led Daniel into the cave and Daniel followed,Where is Daniel? 
168,kitchen,"Daniel is in the forest, near the ruins of the ancient city of _Casa Grande",Where is Daniel? 
169,bedroom,"Mary is in the kitchen, preparing dinner for her family.",Where is Mary? 
170,office,Daniel is in the stable at the Deanery.,Where is Daniel? 
171,office,Daniel is in Cincinnati.,Where is Daniel? 
172,garden,"John is in Danville, Virginia.",Where is John? 
173,bathroom,Sandra is at the office.,Where is Sandra? 
174,bathroom,"Sandra is in the garden.

[Footnote 1: One gramme of pan",Where is Sandra? 
175,office,Sandra is in the Perthshire region of Scotland.,Where is Sandra? 
176,kitchen,Sandra is in the kitchen.,Where is Sandra? 
177,bedroom,Sandra is in the convent of the Augustinian friars in Perth. She is,Where is Sandra? 
178,office,"Sandra is in Serbia, serving as a nurse with the Scottish Women's H",Where is Sandra? 
179,office,Answer: Sandra is in the room with Zoie and Aggie. She is sitting on,Where is Sandra? 
180,hallway,"Mary is in Avon, New York. She is a young woman who has been sent to",Where is Mary? 
181,hallway,Mary Wall is in the hospital. She was injured in the explosion at Avon.,Where is Mary? 
182,hallway,"Daniel is in the ""dark and bloody ground"" of the Cumberland Mountains. He",Where is Daniel? 
183,hallway,Mary is in the office.,Where is Mary? 
184,bedroom,"Sandra is in the bedroom.

""Sandra, Sandra!"" Carl called",Where is Sandra? 
185,bathroom,"John is in the Andes mountains, near Lake Titicaca. He is hiding in a",Where is John? 
186,office,Daniel is in a nursing home in Newhaven.,Where is Daniel? 
187,garden,Mary is in the garden.,Where is Mary? 
188,kitchen,Sandra is in the cave with Captain Flint. She was taken there by Captain Flint,Where is Sandra? 
189,office,"Sandra is in Hillerton, Illinois. She is staying with her friend Miss Maggie",Where is Sandra? 
190,hallway,Mary is in the Tower of London. She is being held captive by the English.,Where is Mary? 
191,kitchen,Sandra is in the United States.,Where is Sandra? 
192,garden,"Sandra is in Canandaigua, Ontario County, New York.",Where is Sandra? 
193,hallway,"Sandra is in the kitchen, helping with the preparations for the dinner party.",Where is Sandra? 
194,hallway,Sandra is in the kitchen with Miss Maggie.,Where is Sandra? 
195,garden,"Mary is in Hillerton, Illinois. She is staying with her friend Jane and her family",Where is Mary? 
196,office,John is in the great Dismal Swamp.,Where is John? 
197,kitchen,"Daniel is in the mountains of Tennessee. He was captured by Wade Miller and his men,",Where is Daniel? 
198,bathroom,"Mary is in the kitchen, preparing dinner for her family.",Where is Mary? 
199,bedroom,"John is in the backyard, working on a new garden.",Where is John? 
200,hallway,"Mary is in the hallway, waiting for her sister to come downstairs. She has",Where is Mary? 
201,office,"According to the text, John moved to the office.",Where is John? 
202,office,"According to the passage, Daniel is ""sick"" and ""lived in a small house",Where is Daniel? 
203,bedroom,"Sandra is in the stable, where she has been living for some time. She is the",Where is Sandra? 
204,hallway,Sandra is in the hospital. She has been ill for a long time.,Where is Sandra? 
205,bathroom,"Sandra is in Youngstown, Ohio. She is the daughter of Jennie and Br",Where is Sandra? 
206,kitchen,"Mary is in the kitchen with her mother, Mrs. Gerhardt.",Where is Mary? 
207,hallway,Sandra is not mentioned in the passage provided. The passage describes a scene in which Roder,Where is Sandra? 
208,bathroom,Daniel is in the bathroom.,Where is Daniel? 
209,hallway,John is in the Cedarville lockup.,Where is John? 
210,bathroom,John is in the interior of Africa.,Where is John? 
211,bedroom,John is in the convent in Montreal. He is a young boy who was sent to the convent,Where is John? 
212,hallway,Daniel is in the nunnery. He was brought there by the priests after he escaped,Where is Daniel? 
213,bedroom,Mary is in the convent. She is a nun who has been living in the convent for many,Where is Mary? 
214,bathroom,Sandra is in Morocco.,Where is Sandra? 
215,bedroom,Mary is in the bedroom.,Where is Mary? 
216,bathroom,"John is in Tunisia.

[1] John is in Tunisia.",Where is John? 
217,hallway,John is in the hallway.,Where is John? 
218,hallway,Sandra is a patient of Dr. Elsie Inglis. She is a little girl who,Where is Sandra? 
219,bathroom,John is in the hospital unit in Serbia. He is a member of the Scottish unit that,Where is John? 
220,bathroom,Mary is in the cabin with Harry. She is the woman who lives in the cabin and takes,Where is Mary? 
221,hallway,"Daniel is in Avery's house, according to the passage. He is the father of",Where is Daniel? 
222,kitchen,Daniel is not mentioned in the passage. The passage is about a woman named Dilly-d,Where is Daniel? 
223,hallway,"Sandra is in the kitchen.

Answer: Sandra is in the kitchen.",Where is Sandra? 
224,bedroom,John is in the bedroom.,Where is John? 
225,office,"John is in Simiti, a small town in the Guajira region of Colombia.",Where is John? 
226,hallway,"Daniel is in Simiti, Colombia. He is a priest who has been living in Simiti",Where is Daniel? 
227,garden,Sandra is in the United States. She has left Simiti and is now living in the,Where is Sandra? 
228,bathroom,"John is not mentioned in the passage. The passage only describes the boys, Jimmie,",Where is John? 
229,bathroom,John is in the temple with Pedro. They are hiding in the chamber with the fountain,Where is John? 
230,office,Daniel is in the Andes Mountains in Peru. He is hiding in a cave somewhere in the,Where is Daniel? 
231,garden,Mary is in the forest. She is hiding in a hollow tree.,Where is Mary? 
232,hallway,Daniel is in the garden.,Where is Daniel? 
233,office,"Daniel is in the ""fields of the dead"" in the ""valley of the shadow of",Where is Daniel? 
234,hallway,"John is in the Ghararif Mountains, in the western region of the Empire of Mor",Where is John? 
235,bedroom,"Mary is in the Big Wigwam with Cameron and his wife, Mandy.",Where is Mary? 
236,bedroom,"According to the text, Mary is in the hotel in Fort Macleod. She is waiting",Where is Mary? 
237,bedroom,Mary is in heaven. She died and went to heaven after Jesus died and resurrected,Where is Mary? 
238,bedroom,"Daniel is in the city of Avon, where he has been working as a correspondent for",Where is Daniel? 
239,office,Sandra is in the prison at Leipsic.,Where is Sandra? 
240,hallway,Daniel is in the Rue Babylone in Paris.,Where is Daniel? 
241,kitchen,Mary is in the kitchen.,Where is Mary? 
242,garden,"Mary is in the house of her lover, where she has been invited to spend the night",Where is Mary? 
243,garden,"Mary is with her mistress, Corinna, in the garden.",Where is Mary? 
244,kitchen,"Mary is in the kitchen, preparing dinner for her family.",Where is Mary? 
245,kitchen,"John is in the Transvaal, a country in South Africa.",Where is John? 
246,garden,"Sandra is in Johannesburg, South Africa.

Answer: Sandra is in Johannes",Where is Sandra? 
247,garden,Sandra is in London.,Where is Sandra? 
248,garden,"Sandra is in London.

Answer: Sandra is in London.

Question",Where is Sandra? 
249,garden,Daniel is in London.,Where is Daniel? 
250,bedroom,"Daniel is in Calvert County, Maryland.

Answer: Daniel is in Calvert County",Where is Daniel? 
251,office,"Mary is in the room with the Judge. She is sitting by his bedside, holding his",Where is Mary? 
252,bathroom,"Daniel is in Northumberland, Virginia. He is staying with his friend, the Captain",Where is Daniel? 
253,bathroom,Daniel is at Ashburton.,Where is Daniel? 
254,bedroom,"John is in the garden.

Answer: In the garden.

Question: What",Where is John? 
255,bedroom,John is in the garden.,Where is John? 
256,office,"Sandra is in the Transvaal Republic, in the southern part of Africa. She is",Where is Sandra? 
257,office,Sandra is in the garden.,Where is Sandra? 
258,kitchen,"Mary is at the house with her husband, Dr. Cameron. She is sitting on the",Where is Mary? 
259,garden,Answer: Mary is in the garden.,Where is Mary? 
260,garden,Sandra is in the back kitchen. She had taters with her poor yabbit before,Where is Sandra? 
261,office,"Mary is in the ""Interior of the Palace"" in the ""House of Lords",Where is Mary? 
262,hallway,"Sandra is in New York City. She is the wife of John Donovan, who own",Where is Sandra? 
263,office,"John is in Khartoum, Sudan.",Where is John? 
264,office,"John is in Cornwall, England.",Where is John? 
265,bathroom,"Sandra is in Cornwall, England.",Where is Sandra? 
266,garden,Sandra is in the garden.,Where is Sandra? 
267,bedroom,"Sandra is in the kitchen, preparing dinner for her family.",Where is Sandra? 
268,bathroom,John is in the kitchen.,Where is John? 
269,bedroom,Daniel is in the garden.,Where is Daniel? 
270,kitchen,"Daniel is in the kitchen.

Answer: Daniel is in the kitchen.

Question",Where is Daniel? 
271,office,"Sandra is in the kitchen, preparing dinner.",Where is Sandra? 
272,office,"Sandra is a character in the story. She is described as a ""dusky ma",Where is Sandra? 
273,kitchen,Daniel is in the hospital on Slushmoor. He was injured in the explosion and,Where is Daniel? 
274,bathroom,Daniel is at the office.,Where is Daniel? 
275,office,"Sandra is in the kitchen, preparing dinner for her family.",Where is Sandra? 
276,kitchen,"Daniel is in the kitchen and scullery, which are partly underground.",Where is Daniel? 
277,hallway,"Mary is in the kitchen, preparing dinner for her and her two children. She is also",Where is Mary? 
278,office,John is in the Quarter.,Where is John? 
279,bathroom,John is in the woods. He has lost his way and is trying to find the main road,Where is John? 
280,bathroom,"Sandra is in the Sierra Nevada mountains, near the town of Eureka. She",Where is Sandra? 
281,garden,Daniel is not mentioned in the passage. The passage describes a woman named Hannah Chester who,Where is Daniel? 
282,office,"Sandra is in the library, according to the passage. She is sitting in a chair,",Where is Sandra? 
283,office,Sandra is at the fort. She is trying to convince the others to help her build the,Where is Sandra? 
284,garden,John is in the bathroom.,Where is John? 
285,office,John is in the house.,Where is John? 
286,bathroom,Answer: Sandra is in the playroom with Jennie and Vesta.,Where is Sandra? 
287,office,John is in the United States. He is a businessman who has been living in Chicago for,Where is John? 
288,garden,"According to the passage, Daniel is the father of Zoie's twins. He is",Where is Daniel? 
289,bathroom,Sandra is in China. She is a missionary who has been working in China for many,Where is Sandra? 
290,kitchen,"Mary is in the garden of the nunnery. She is sitting under a tree, looking",Where is Mary? 
291,kitchen,"John is in the clay pit, according to Rudolph. He was hiding there when the",Where is John? 
292,bedroom,"According to the passage, John is in the bedroom.",Where is John? 
293,kitchen,"Mary is in the bedroom.

""He asked me how I knew that, and",Where is Mary? 
294,kitchen,John is in the kitchen.,Where is John? 
295,garden,"Sandra is in the back room of the house. She is sitting in a chair, holding",Where is Sandra? 
296,garden,"Daniel is in the top floor room of the house. He is sitting on the bed, looking",Where is Daniel? 
297,hallway,John is in the hall.,Where is John? 
298,hallway,"Mary is in the mountains of Kentucky, near the home of her friend Alice Johnson. She is",Where is Mary? 
299,bathroom,Mary is in the garden.,Where is Mary? 
300,bathroom,"Mary is in the ""Home"" with her mother, Kneir. She is dressed in",Where is Mary? 
301,bathroom,"Mary is in the hallway, waiting for her husband to return from his trip to the g",Where is Mary? 
302,bathroom,"Mary is in the kitchen, preparing dinner for the family.",Where is Mary? 
303,office,John is in the hallway.,Where is John? 
304,hallway,Mary is in the kitchen.,Where is Mary? 
305,garden,Daniel is in the bathroom.,Where is Daniel? 
306,bathroom,"Daniel is in Cape Town, South Africa.",Where is Daniel? 
307,office,"Daniel is in the Transvaal, working on a dam.",Where is Daniel? 
308,office,"Daniel is in Washington, D.C. He is with the President.",Where is Daniel? 
309,kitchen,"John is in the town of Hampton, Virginia. He is a wealthy merchant who has",Where is John? 
310,garden,Daniel is a servant in the British Army. He is a man named Daniel who was a servant,Where is Daniel? 
311,garden,Sandra is in the United States. She is a 30-year-old woman,Where is Sandra? 
312,office,"Daniel is in the mountains of Mexico, following a trail that leads to the Silver Palace.",Where is Daniel? 
313,bedroom,"Sandra is in the Everglades, where she has been living for some time. She",Where is Sandra? 
314,garden,John is in the garden.,Where is John? 
315,office,"Mary is at the Forest Inn with her father, Mr. Coningsby.",Where is Mary? 
316,bedroom,Daniel is with Lord Monmouth in Naples.,Where is Daniel? 
317,office,Mary is in the room in which the family lived. She is the little lame girl who,Where is Mary? 
318,office,"Mary is in Rockville, Virginia.",Where is Mary? 
319,garden,Daniel is in the kitchen.,Where is Daniel? 
320,garden,John is in the garden.,Where is John? 
321,kitchen,"Sandra is in the greenhouse, observing the caterpillars.",Where is Sandra? 
322,kitchen,Sandra is in the bathroom.,Where is Sandra? 
323,garden,Daniel is in the kitchen.,Where is Daniel? 
324,garden,Daniel is in the custody of Mr. Redfern and his associates. They have taken,Where is Daniel? 
325,bathroom,"Sandra is in the bathroom.

[/Answer]  Ah, I see",Where is Sandra? 
326,bedroom,John is in the bedroom.,Where is John? 
327,garden,"Sandra is in the forest, near the mill. She is hiding in the bushes and",Where is Sandra? 
328,garden,Sandra is in the San Francisco area.,Where is Sandra? 
329,bedroom,"Yes, Daniel is the boy who is the grandson of Mary Lawton and her husband, Ben",Where is Daniel? 
330,kitchen,"Sandra is in the kitchen with her mother, Mrs. Minster.",Where is Sandra? 
331,office,John is in the kitchen.,Where is John? 
332,kitchen,"Sandra is in Quito, Ecuador.",Where is Sandra? 
333,bedroom,"Daniel is in Peru. He is believed to be somewhere in Peru, possibly in the vicinity",Where is Daniel? 
334,bedroom,Daniel is in the temple with the jaguars. He was captured by the jaguars,Where is Daniel? 
335,office,John is at college.,Where is John? 
336,hallway,"Daniel is at the office of Mr. Smith, the author of the book about the Blais",Where is Daniel? 
337,office,Sandra is in the garden.,Where is Sandra? 
338,hallway,Sandra is in the Yellowstone National Park with her friend Donald Gray.,Where is Sandra? 
339,hallway,Sandra is in Egypt. She is going to Egypt to visit her friend there.,Where is Sandra? 
340,hallway,"Mary is in Cambridge, Massachusetts. She is staying with her sister, Mrs. Woodward",Where is Mary? 
341,garden,Mary is in the garden.,Where is Mary? 
342,office,,Where is Daniel? 
343,kitchen,Sandra is in the office.,Where is Sandra? 
344,garden,"Sandra is in the forest.

""The reason why she looked so hard,",Where is Sandra? 
345,office,"Mary is in the river, struggling to stay afloat. She is being pulled down by the",Where is Mary? 
346,hallway,"Daniel is in the town of Simiti, in the ""Valley of the Devil""",Where is Daniel? 
347,hallway,"John is in Cartagena, waiting for a ship to take him to the United States.",Where is John? 
348,kitchen,"Mary is in the kitchen, preparing dinner for her family.",Where is Mary? 
349,kitchen,"John is in the kitchen.

Answer: The hind legs.

Question:",Where is John? 
350,bedroom,"Sandra is in the ""Prairie Flower"" county of Illinois.

Answer",Where is Sandra? 
351,garden,"John is in the hospital.

Answer: John is in the hospital.

Question",Where is John? 
352,garden,"Sandra is in the village of Fairlie, where she lives with her mother.",Where is Sandra? 
353,bedroom,"Sandra is in the village of Fair Knowe, which is located in the countrys",Where is Sandra? 
354,bedroom,Sandra is in the garden.,Where is Sandra? 
355,bathroom,"Sandra is located in the Sahara Desert, specifically in the province of Temsint",Where is Sandra? 
356,office,John is in Morocco. He is a British Consul in the city of Mog,Where is John? 
357,hallway,"Mary is in the kitchen, preparing dinner for her family.",Where is Mary? 
358,garden,Mary is in the office.,Where is Mary? 
359,hallway,Mary is in the bathroom.,Where is Mary? 
360,garden,"Daniel is in the mountains, somewhere. He was out hunting and got lost in the storm.",Where is Daniel? 
361,bathroom,"Daniel is in the woods, looking for a place to have a picnic with Webb and",Where is Daniel? 
362,garden,Mary is not mentioned in the passage provided. The passage describes a gathering of the Cliff,Where is Mary? 
363,garden,John is in the cellar at Donovan's Saloon.,Where is John? 
364,garden,"Daniel is in the story ""Dan, the Newsboy"" by James Otis.",Where is Daniel? 
365,garden,Sandra is in the garden.,Where is Sandra? 
366,garden,"Sandra is in the United States.

Answer: Sandra is a country located in",Where is Sandra? 
367,hallway,"Daniel is in the Wilderness of Virginia, near Spotsylvania Court House.",Where is Daniel? 
368,hallway,Mary is in the house. She is the woman who is taking care of the children.,Where is Mary? 
369,hallway,Daniel is in the hospital. He was injured in the explosion at the factory.,Where is Daniel? 
370,hallway,Daniel is in the house of the old woman who is his relative.,Where is Daniel? 
371,hallway,"Daniel is in the workshop, working on a coffin plate.",Where is Daniel? 
